OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species,,
OTU_104,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_BBMC-12,s__bacterium_enrichment_culture_clone_BBMC-12,
OTU_105,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_BBMC-9,s__bacterium_enrichment_culture_clone_BBMC-9,
OTU_106,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_DPF01,s__bacterium_enrichment_culture_clone_DPF01,
OTU_107,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_DPF18,s__bacterium_enrichment_culture_clone_DPF18,
OTU_108,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_DPF35,s__bacterium_enrichment_culture_clone_DPF35,
OTU_109,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_DPHB06,s__bacterium_enrichment_culture_clone_DPHB06,
OTU_110,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_DPHB07,s__bacterium_enrichment_culture_clone_DPHB07,
OTU_111,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_E29,s__bacterium_enrichment_culture_clone_E29,
OTU_112,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_E34,s__bacterium_enrichment_culture_clone_E34,
OTU_113,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_E39,s__bacterium_enrichment_culture_clone_E39,
OTU_114,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_EB35.5,s__bacterium_enrichment_culture_clone_EB35.5,
OTU_115,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_EBa8,s__bacterium_enrichment_culture_clone_EBa8,
OTU_116,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_EtOH-34,s__bacterium_enrichment_culture_clone_EtOH-34,
OTU_117,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_heteroA15_4W,s__bacterium_enrichment_culture_clone_heteroA15_4W,
OTU_118,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_HQ-2,s__bacterium_enrichment_culture_clone_HQ-2,
OTU_119,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_JCA3,s__bacterium_enrichment_culture_clone_JCA3,
OTU_120,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_JXS-02-01,s__bacterium_enrichment_culture_clone_JXS-02-01,
OTU_121,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_KME55-1,s__bacterium_enrichment_culture_clone_KME55-1,
OTU_122,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_KSE55-29,s__bacterium_enrichment_culture_clone_KSE55-29,
OTU_123,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_KSE55-31,s__bacterium_enrichment_culture_clone_KSE55-31,
OTU_124,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_KSE55-35,s__bacterium_enrichment_culture_clone_KSE55-35,
OTU_125,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_KWE30-49,s__bacterium_enrichment_culture_clone_KWE30-49,
OTU_126,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_KWE55-24,s__bacterium_enrichment_culture_clone_KWE55-24,
OTU_127,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_LDC-11,s__bacterium_enrichment_culture_clone_LDC-11,
OTU_128,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_LDC-12,s__bacterium_enrichment_culture_clone_LDC-12,
OTU_129,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_M02,s__bacterium_enrichment_culture_clone_M02,
OTU_130,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_M137,s__bacterium_enrichment_culture_clone_M137,
OTU_131,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_M153,s__bacterium_enrichment_culture_clone_M153,
OTU_132,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_M244,s__bacterium_enrichment_culture_clone_M244,
OTU_133,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_NCAAH_15N2,s__bacterium_enrichment_culture_clone_NCAAH_15N2,
OTU_134,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_PKS14,s__bacterium_enrichment_culture_clone_PKS14,
OTU_135,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_PKS4,s__bacterium_enrichment_culture_clone_PKS4,
OTU_136,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R1-1,s__bacterium_enrichment_culture_clone_R1-1,
OTU_137,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R1-2,s__bacterium_enrichment_culture_clone_R1-2,
OTU_138,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R1-3,s__bacterium_enrichment_culture_clone_R1-3,
OTU_139,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R1-4,s__bacterium_enrichment_culture_clone_R1-4,
OTU_140,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R4-45B,s__bacterium_enrichment_culture_clone_R4-45B,
OTU_141,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R4-52B,s__bacterium_enrichment_culture_clone_R4-52B,
OTU_142,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R4-62B,s__bacterium_enrichment_culture_clone_R4-62B,
OTU_143,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_R4-81B,s__bacterium_enrichment_culture_clone_R4-81B,
OTU_144,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_RB2a,s__bacterium_enrichment_culture_clone_RB2a,
OTU_145,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_RB7c,s__bacterium_enrichment_culture_clone_RB7c,
OTU_146,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_enrichment_culture_clone_SRC_NBB12,s__bacterium_enrichment_culture_clone_SRC_NBB12,
OTU_147,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_F082,s__bacterium_F082,
OTU_148,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_F6(2009),s__bacterium_F6(2009),
OTU_149,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FB2012,s__bacterium_FB2012,
OTU_150,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FB3011,s__bacterium_FB3011,
OTU_151,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FC2008,s__bacterium_FC2008,
OTU_152,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FC2009,s__bacterium_FC2009,
OTU_153,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FC2014,s__bacterium_FC2014,
OTU_154,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FC4001,s__bacterium_FC4001,
OTU_155,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FCS020,s__bacterium_FCS020,
OTU_156,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FE2016,s__bacterium_FE2016,
OTU_157,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FE2018,s__bacterium_FE2018,
OTU_158,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_FJAT-17797,s__bacterium_FJAT-17797,
OTU_159,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1272,s__bacterium_ic1272,
OTU_160,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1277,s__bacterium_ic1277,
OTU_161,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1291,s__bacterium_ic1291,
OTU_162,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1294,s__bacterium_ic1294,
OTU_163,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1296,s__bacterium_ic1296,
OTU_164,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1311,s__bacterium_ic1311,
OTU_165,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1340,s__bacterium_ic1340,
OTU_166,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_ic1391,s__bacterium_ic1391,
OTU_167,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_L32,s__bacterium_L32,
OTU_168,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_LB2020,s__bacterium_LB2020,
OTU_169,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_LC2012,s__bacterium_LC2012,
OTU_170,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_LC2020,s__bacterium_LC2020,
OTU_171,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_LD2013,s__bacterium_LD2013,
OTU_172,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MA2007,s__bacterium_MA2007,
OTU_173,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MA2016,s__bacterium_MA2016,
OTU_174,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MA2020,s__bacterium_MA2020,
OTU_175,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MB2022,s__bacterium_MB2022,
OTU_176,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MB2026,s__bacterium_MB2026,
OTU_177,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MB2027,s__bacterium_MB2027,
OTU_178,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MC2010,s__bacterium_MC2010,
OTU_179,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MC2020,s__bacterium_MC2020,
OTU_180,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MD2010,s__bacterium_MD2010,
OTU_181,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MD2012,s__bacterium_MD2012,
OTU_182,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MD3002,s__bacterium_MD3002,
OTU_183,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MF-02,s__bacterium_MF-02,
OTU_184,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_16,s__bacterium_mpn-isolate_group_16,
OTU_185,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_17,s__bacterium_mpn-isolate_group_17,
